index,p_saleprice
690,288708.50360872864
692,159273.3286350266
693,213513.79249535766
697,210385.61541262863
701,139281.6016285864
708,221542.60315059163
709,170187.32393520788
712,119355.6543667425
715,152714.70930545087
716,132761.2806521061
717,131569.2764523293
719,220438.4401038086
724,149179.1489883489
731,169937.5014529585
733,65398.615390542895
734,187799.0060787808
736,143350.36686691747
739,144066.06982592755
740,158334.52134177188
750,169258.8012581942
752,212881.8028749429
753,106499.93491464606
761,171288.79502366006
763,220467.19053952847
772,119659.9477198742
775,191122.0737978628
780,152178.76011200744
781,148947.67440496583
787,233843.203373002
792,175747.90337897063
793,172567.5555055018
795,417054.05031332833
796,400634.6562095111
797,139706.33416818234
802,203491.0886953763
813,179293.69853782852
822,124481.66141474995
829,220497.02513598348
839,272915.4550619665
840,174414.88031020112
843,136310.297004265
844,170361.66926128135
845,199236.64262689528
852,286124.6210669804
854,205712.8315878246
855,123832.4734951237
856,184122.30548035767
858,220293.98490584816
860,182309.85131984256
865,114205.7919898548
868,175318.66448972403
884,196239.53399918735
892,240516.38516833505
896,192640.71225772653
899,148686.24927223357
900,182315.71545133495
902,270627.01234730356
904,248899.97231392912
909,223376.6896666729
911,209622.65987148054
912,171220.3258719003
916,164278.00514252522
919,180252.54521626973
923,178307.59519012447
927,207289.11694097417
928,186928.37602742406
930,291113.6961105891
931,120280.81979280173
943,163832.92923075566
946,121747.12607543729
949,101999.757218766
952,163932.79483591317
954,115603.3411743462
955,116452.60429633892
956,201223.2215758412
965,164075.41980557743
968,24640.676398043855
973,116076.13076347357
978,128445.48412269971
979,174352.90022558055
980,113308.37292678302
988,223890.34689854638
989,268357.5632789298
991,138840.57681932635
996,198595.9329410739
997,188104.46223265503
999,133908.2403921363
1001,137872.39100162592
1003,87253.06935233405
1004,160282.0846529624
1008,402588.30659624166
1009,247731.057908062
1015,309498.2953258959
1017,195403.25661199627
1021,199671.93217635562
1023,144308.3862795335
1025,140407.65643620247
1027,169639.9525263873
1032,243012.49905157468
1036,225419.8761822307
1039,244468.39292602806
1042,78519.40820642657
1047,156584.79675933853
1052,113050.54502672827
1056,180986.55895168113
1058,129445.71850702187
1068,199820.72377420944
1071,133412.7148049541
1072,251480.25509681282
1077,127503.7093817195
1080,174447.36639483785
1086,189094.39439092085
1088,156614.60485064157
1089,230202.89226612882
1092,149568.67738765865
1094,203474.84580517514
1095,91994.08202571713
1097,127311.31622128213
1100,197450.85996383935
1105,133717.47980520848
1106,334856.8756058101
1110,163552.15919953678
1116,273944.37408319477
1124,148638.69354934187
1126,142753.9281968444
1131,165564.339974513
1143,108520.22294116754
1146,229368.70653029013
1155,183615.05123469315
1156,121571.47091879378
1157,316434.17605902057
1160,177268.8993126474
1163,266200.7859278682
1179,235916.96411953075
1181,111862.64761151513
1183,294556.42089799396
1189,128412.37244151677
1190,189276.38593775698
1197,140014.93695155228
1204,222778.9582874442
1206,201791.47358229174
1207,266408.8589918281
1208,192997.9254111225
1215,178840.28987169825
1219,272934.01208574243
1221,124593.99974692374
1222,252565.54872339085
1224,232791.93491579773
1233,164188.72157008972
1235,100604.54804170379
1236,191197.45647910616
1240,131724.0416398844
1246,143493.2117790042
1253,128055.51841154639
1254,203947.01098678488
1256,188990.94013907932
1258,224809.16183984705
1259,274172.5382171441
1260,144706.03556888844
1262,237403.6886557924
1269,119118.14978352471
1278,344495.743746376
1281,462236.3165721819
1287,175360.55368427135
1288,244393.86436273454
1289,243058.8128933655
1298,152516.76323720405
1301,139336.21710885566
1307,118521.65458417081
1311,132671.97759756265
1312,247741.39703352365
1321,121626.81529485801
1322,260266.81379314206
1323,70645.68775024865
1324,127664.90828838383
1333,133942.09771531168
1335,239322.15054854093
1348,295440.3851771884
1358,314767.50705210946
1359,150116.38125639234
1360,198505.79941323638
1361,189372.05595408217
1362,192868.1317247555
1363,278716.6118254743
1376,188601.27123376238
1379,93014.50524532722
1380,77638.51306285876
1385,168496.82400393678
1388,209811.49032219438
1389,178814.09680338507
1392,149569.440338597
1396,250107.44364279346
1399,154597.95917903585
1405,219545.30960303466
1411,191273.33410337748
1412,212495.9102531139
1416,179821.6306327937
1417,177611.30878271407
1418,183585.8030653061
1426,210701.15808421932
1428,210142.73158179724
1431,67487.44524514665
1441,140039.15643939274
1443,136819.9962820106
1444,297839.0150065316
1451,140556.18189650794
1454,370440.05553604546
1461,136986.89045550828
1463,359494.6228632339
1465,150123.14517646987
1474,176393.65391107032
1475,182090.3880051428
1479,145979.8102150116
1482,245364.37841693597
1484,73107.09446549571
1485,214729.96409581747
1492,461881.17092180916
1493,193040.96783948934
1494,124087.02215707567
1496,152468.4790324673
1498,129146.34211475884
1499,165726.81803889785
1502,250028.20253027158
1503,156306.11456820468
1504,479756.1702988272
1506,148667.37198522186
1510,216730.72918205865
1516,228696.16307340463
1522,187960.4064992884
1523,156209.8285702091
1528,97141.75147894499
1538,313248.63337448885
1539,120901.68682887628
1546,400098.3065348401
1547,165932.18285476326
1555,158327.19631701687
1557,58627.70704775085
1559,150395.42601002243
1561,194995.72058348305
1563,116379.14264855802
1567,188305.06505664665
1577,171221.96140905048
1580,138485.7902058299
1589,219066.2351445931
1590,144637.09674714756
1592,168089.33739600447
1593,291654.3141108902
1594,159123.3957781078
1599,156913.18956359755
1605,180162.37630637793
1607,105157.94973260722
1611,240042.87092356686
1612,89175.4092737082
1614,220224.12422514975
1625,114622.1756684823
1644,122328.6991213879
1647,304571.9263718122
1651,149537.94578890738
1652,124479.51662237165
1667,124706.26596856728
1669,211661.42906938118
1675,186264.17379712296
1681,137875.34053420258
1691,195167.85837210368
1699,168940.23137299687
1708,93818.70025465384
1709,140425.28659201422
1710,389927.1413098044
1711,128508.9279743243
1715,270870.168454207
1721,188585.05862094002
1734,187325.74550124456
1735,120355.7396592043
1738,132283.15631924698
1742,182896.7503723643
1746,120754.61803517844
1747,249546.28060185292
1759,185846.09235711745
1762,127501.23079327014
1763,225330.80319373004
1765,182732.459982655
1770,118007.49926603805
1771,222336.41696298806
1772,109258.12639240167
1774,179592.76497816917
1776,166789.9900410155
1778,154840.95665811322
1779,170156.0259080818
1784,189020.01670512886
1785,258662.821355652
1787,248546.03469368303
1790,455164.25410499424
1792,338703.22959242493
1793,356875.992016244
1796,150605.0831218738
1801,618130.603466617
1802,274833.1531846741
1806,248551.01300119018
1807,135796.13381535816
1812,187533.30200152082
1813,345054.29008282186
1819,174599.46219617408
1821,217247.84034842148
1822,114394.47266796601
1825,179869.16956961638
1830,129381.12297719621
1831,233532.63763022987
1836,348144.31840505276
1841,175490.25351473593
1849,148047.22494674858
1853,249430.64295772708
1857,176986.77881223033
1859,130135.03919978687
1862,189754.39019655273
1864,462770.745235086
1867,287277.71483144606
1869,181426.22130574685
1881,149946.9718583605
1883,119967.95999584468
1887,145882.89054871027
1889,146719.25970240775
1891,155812.15419111424
1893,255916.16041316785
1894,176095.62685156913
1898,240467.09435998727
1902,162871.74340844812
1909,267817.91005860525
1912,32812.47233451692
1915,174806.34770539668
1919,171912.91131682126
1920,176389.9075845801
1921,81785.3570370414
1932,186211.6993216702
1933,186701.68579454388
1941,134656.3741589592
1944,197528.10120209533
1948,94649.96630310261
1949,223133.10988338065
1951,96416.81385127298
1956,67508.85484144559
1962,149251.8681368594
1965,157991.91241569025
1968,147060.26540094012
1971,206796.83805768087
1976,159661.13826483267
1980,107405.97213624837
1985,96119.95308083326
1990,125410.11645928083
1992,214322.24393519372
1994,167542.7265015926
2016,101912.27469758592
2025,233101.76411135268
2029,115396.69703374531
2041,194332.0298687839
2042,253254.0844427257
2043,135974.07273877607
2044,162356.6134797522
2054,228015.25334595022
2060,141662.1536505481
2074,121862.65070369953
2076,244689.98273759568
2077,292346.36546031106
2078,409470.2796360183
2082,149730.47921168598
2083,196291.33904950265
2085,129072.5157660394
2087,96378.180005073
2090,234424.74108933622
2091,150885.48217183782
2095,280139.9047590393
2102,147408.74586199742
2106,190931.85574277272
2108,170123.50079896784
2111,184137.03585139482
2112,149656.39204895834
2113,160992.52501129772
2114,224201.82961309524
2120,126075.37418098978
2121,174843.8035244517
2131,120493.73444469926
2135,162897.60109100706
2137,92362.78783028181
2139,112073.78863067582
2142,151446.06096303632
2145,285368.6963289405
2151,420055.3296966004
2153,138858.67375279526
2156,266330.69720705244
2157,131060.77501392938
2162,226563.7385327811
2165,164702.72363898094
2169,200640.80483089638
2170,140897.8002316354
2176,91415.42132556281
2181,167384.12625403624
2187,153108.4453277274
2190,175607.88058173092
2192,232446.65898650137
2194,166537.66805438866
2197,169461.86469014845
2200,319509.9672799723
2201,193420.52570385367
2209,190296.19945587142
2220,126379.53767274972
2229,201182.12626879828
2231,259302.4972109028
2232,255175.78150753625
2242,111580.91866423687
2243,244166.2907483921
2253,259684.905918993
2257,106952.36890122629
2260,125524.72567039875
2261,243033.1563807494
2262,417036.55746336665
2272,218857.02662257152
2278,112256.07350536449
2279,395356.31974937086
2280,376456.74560825346
2293,110341.05401769391
2298,149235.27719844194
2300,240545.741324195
2304,189974.81823150913
2307,346688.63819514145
2308,152561.33904037223
2310,255512.72895987472
2322,145637.32257140323
2330,237852.18698116142
2331,188693.46572711004
2335,146719.81226954533
2350,121408.9548687971
2351,138707.79014624906
2358,190550.50744430936
2361,174778.98547556886
2364,114898.92531050698
2366,161303.90609256632
2367,184005.9853332321
2372,146031.09634435334
2375,195086.52478965762
2377,244885.87117435463
2387,155307.6285073341
2392,85280.19923425169
2393,170968.6219522364
2394,118754.6758999685
2399,140275.99194505333
2404,160860.0669719829
2411,274744.6336528555
2417,76377.75109321068
2429,174611.02925026754
2435,302080.8886353186
2437,130778.98854172337
2439,130402.59382973201
2441,223609.93382775987
2444,118223.31476006066
2446,346010.42307009816
2451,145429.75787778263
2452,193128.08942031453
2454,107316.36501749663
2458,146285.05209531798
2469,315359.70333093806
2472,147959.28812842036
2476,123648.10761489235
2482,193790.34257774559
2485,205656.76101591322
2487,171059.88656013572
2488,133586.8659608526
2491,212953.90223787015
2512,110066.49402559016
2518,301554.8336277028
2521,117533.39131335546
2532,145124.21342661756
2537,129295.18187736184
2539,149849.8402617746
2543,115526.52528606885
2545,142395.10776932165
2549,98486.46738345877
2550,179829.73292756043
2551,361889.5783398913
2554,197644.8349378248
2555,214958.75281769864
2561,123904.40193263823
2562,197622.49612784747
2567,177607.5562917601
2568,150441.1204888447
2576,235901.35718820564
2583,199058.8027452913
2588,201971.54728063924
2591,261585.07879018015
2596,227720.6506563092
2603,73306.58703849936
2607,145380.9138697015
2613,123408.50623399239
2614,149430.74618727562
2626,106213.40028753954
2632,204529.30009624868
2642,345079.9516016758
2647,220618.94090974078
2648,262796.1012750823
2653,194214.85032706047
2662,132052.3162965225
2674,134744.72363898944
2680,325348.73639104515
2696,116763.11957531
2707,144442.38361380293
2708,136433.23991991876
2711,164181.04815677713
2712,112150.98032088645
2715,186215.1819473232
2719,172003.2958499525
2727,174376.08691633365
2734,229062.77847325592
2737,401153.3266215349
2745,150365.46384816326
2747,151970.461946957
2752,163209.1231191871
2755,101580.0403162328
2757,173102.92949773936
2764,98546.64892007456
2771,135976.24668394466
2774,336316.66240603884
2779,151928.59405291782
2786,128230.0759512563
2789,146708.26841511898
2803,225280.16055549722
2805,129311.64740186941
2806,199108.84443264987
2811,291533.5359242513
2812,214825.22379787918
2817,117909.89057166845
2821,173956.83313960058
2822,145469.3997795774
2828,149353.974503815
2829,274331.95141923963
2842,131907.7836485596
2846,208050.1813192197
2854,222150.15268800603
2857,113584.90885703993
2861,275012.9626882174
2862,121156.76537751625
2866,253576.24990733754
2868,157897.9890087563
2870,162296.7855550922
2873,118797.72745843903
2878,255524.45487632562
2883,346643.1371404865
2885,150480.1056829119
2886,123636.68147369941
2900,233955.8588502793
2903,231366.5262639256
2912,387142.84566627425
2914,148261.20261376817
2919,186068.93010622723
2923,165879.3411486284
2924,125228.33493127672
